Date,Adoption_Rate,Retention_Rate,Revenue_Growth,Churn_Rate
2023-01-01,50,95.0,10.0,5.0
2023-01-02,50,95.0,10.0,5.958364877807465
2023-01-03,50,95.0,10.0,5.0
2023-01-04,60,95.0,10.0,5.803180401845287
2023-01-05,62,94.56308203527236,10.0,5.641105793495571
2023-01-06,91,95.0,10.0,5.6517337991782135
2023-01-07,89,95.0,10.0,5.821434588101908
2023-01-08,117,92.98856698811707,10.0,5.675894135732152
2023-01-09,119,92.88568767820878,10.0,5.428264819087007
2023-01-10,139,94.25860072025945,10.641806799116644,5.0
2023-01-11,137,95.0,11.17137260574819,5.0
2023-01-12,144,95.0,11.82753547872505,6.083453937389615
2023-01-13,161,93.27199723474378,13.527409606784834,5.497036892777739
2023-01-14,178,95.0,14.295226599866336,5.878788867666638
2023-01-15,202,94.1389480419087,15.774345761644147,5.270737010717408
2023-01-16,194,95.0,16.631619933214235,5.0
2023-01-17,215,95.0,17.280782022353254,5.0
2023-01-18,214,95.0,18.145540308852436,5.744756948084317
2023-01-19,241,94.38026714467439,19.728940706635925,5.256216185403321
2023-01-20,244,94.13729998737263,21.512485408795353,5.0
2023-01-21,258,93.54417773827227,23.25781520564584,5.422749533043314
2023-01-22,251,92.64857890968062,24.353590500073523,5.0
2023-01-23,258,95.0,25.85571820492949,5.647459287345281
2023-01-24,283,95.0,26.663194648053224,5.043481314364701
2023-01-25,292,95.0,27.602916243444746,6.1225907287469035
2023-01-26,305,95.0,29.447419971226424,5.170174467297697
2023-01-27,312,94.5074411081248,29.966922856492527,5.481868869592174
2023-01-28,321,95.0,30.59518565277423,5.0
2023-01-29,334,95.0,31.40701503549327,5.0
2023-01-30,356,95.0,31.946813341304,5.422349750176007
2023-01-31,363,93.16521658279697,32.718966493938694,5.619218328774907
2023-02-01,383,93.95052818959202,34.09352883539323,5.8813597775572894
2023-02-02,385,92.6375167814851,35.22566566128198,5.28662186071531
2023-02-03,394,95.0,37.064673227897444,6.115238497527811
2023-02-04,407,94.4906326037376,38.7908385705051,6.467497541631157
2023-02-05,437,92.95303276047538,39.80356459805191,6.328932747017468
2023-02-06,434,94.69779174861243,40.692699748198855,5.0
2023-02-07,454,94.45602944534807,41.76223836044976,5.774200707702471
2023-02-08,465,93.38869482817532,43.14768077422197,5.045025192001185
2023-02-09,487,92.38280179736995,44.049776235456285,5.341232888867912
2023-02-10,500,94.5873916834701,45.485999597229984,6.8524460656551724
2023-02-11,500,93.95485717724155,46.60011707551684,5.186089986901928
2023-02-12,500,94.93542741309639,47.92818784679481,5.9208532299796355
2023-02-13,500,93.89933532312929,49.08237764049779,6.181366413691183
2023-02-14,500,95.0,50.024076279810664,6.371962908121175
2023-02-15,500,93.9713636188342,51.9467562402539,6.108308355984818
2023-02-16,500,93.98001562240528,53.59216493149354,5.0305307058273785
2023-02-17,500,95.0,54.30233469514322,5.685889649455016
2023-02-18,500,93.29525014616827,56.105036658990095,6.090368341714478
2023-02-19,500,92.18990706764872,57.33618345636437,5.252656075212744
2023-02-20,500,91.74150433162697,59.178011796705505,5.8001549613194605
2023-02-21,500,94.61945012159558,60.87779468062648,5.187285338461853
2023-02-22,500,94.05266677684243,62.01561493733033,5.300014137167185
2023-02-23,500,94.36027511635294,62.5493188998105,5.958681717238357
2023-02-24,500,92.36834016251916,63.45233493888792,5.452244694899308
2023-02-25,500,92.03449689135807,64.76478626087922,6.343872905314325
2023-02-26,500,91.51971712420999,66.21500359061844,6.609699169043762
2023-02-27,500,92.83641616929232,67.10183511876824,6.853920650965419
2023-02-28,500,93.76626415401194,67.81086922987747,5.675025763214895
2023-03-01,500,92.94809705951981,69.56326458507641,5.631668461221436
2023-03-02,500,93.10154803974326,71.53986785613174,5.52781699935012
2023-03-03,500,94.94081060215082,72.82840312958577,6.613519839746615
2023-03-04,500,92.6897251647965,73.58592205835822,6.775588815611165
2023-03-05,500,93.32518872587002,74.49438304813728,5.447787674266669
2023-03-06,500,94.37637029272283,75.02196906295848,7.279017899080786
2023-03-07,500,92.80045684357079,76.89341727279923,5.532513995874374
2023-03-08,500,93.67515998772468,77.57004389713444,6.533142121151592
2023-03-09,500,94.60879549432764,78.93481861040581,6.890648511429306
2023-03-10,500,94.9299506264987,79.84590144143662,7.2364437419976655
2023-03-11,500,91.69268952811176,81.17716844521031,6.944657380748372
2023-03-12,500,94.78327357756906,82.6542990277381,7.141917704601122
2023-03-13,500,93.0179157217687,84.3989117332989,6.239339945525172
2023-03-14,500,92.05495557517385,85.20854364093981,7.212067809910606
2023-03-15,500,92.83104851945853,85.72503738392753,5.7646252971649545
2023-03-16,500,94.88716326817487,86.43036582903073,7.416006938494682
2023-03-17,500,92.91003281553192,88.2803937918029,6.743536400659121
2023-03-18,500,92.22709435323794,90.09122890814666,7.304925210254658
2023-03-19,500,93.41821880188229,91.48734856140213,6.596944261344293
2023-03-20,500,91.81772533225563,92.88812385205262,7.001441104678764
2023-03-21,500,91.13312364210499,94.385678863872,6.789069058135963
2023-03-22,500,91.3177166898404,95.14873578180718,7.221420801752422
2023-03-23,500,91.28690863055635,97.02035370069461,5.9434797442809595
2023-03-24,500,91.35486352130192,98.14850948803273,5.92290197017893
2023-03-25,500,91.27508891037786,99.22321728040697,6.318382292196118
2023-03-26,500,93.25580667152055,100.50159383833123,6.165243206380223
2023-03-27,500,91.39235550243174,101.07204278849382,7.611699001316272
2023-03-28,500,92.0200317706581,101.82146784162794,6.328537864825979
2023-03-29,500,94.19704374951417,103.42851826626749,7.863818423726175
2023-03-30,500,92.47826414346906,104.05271626815518,6.6078575176081475
2023-03-31,500,93.22517600902916,105.45744443235476,6.320279787421355
2023-04-01,500,91.21675201227904,106.32546809687675,7.557418992306936
2023-04-02,500,91.26915607523469,107.40941151793972,7.317415551001752
2023-04-03,500,90.63600193759339,108.34245212309577,7.0183694548843
2023-04-04,500,91.12079519734361,109.37596119779319,7.1546831458313065
2023-04-05,500,91.53194377371025,110.95453005556956,7.504337622478594
2023-04-06,500,91.09815182721687,111.90021262900433,6.544821570574685
2023-04-07,500,90.71744749766557,113.24981958944967,8.102557942003592
2023-04-08,500,90.81770831956723,114.46389519274832,8.081454456161698
2023-04-09,500,92.1508073798232,115.9594019407923,7.4544975265400275
2023-04-10,500,91.10555465384294,117.86464654977944,6.574909077682467
2023-04-11,500,91.70982669693956,119.4635046955948,7.55825868266478
2023-04-12,500,92.23894380869416,120.28591526348094,6.364177037738571
2023-04-13,500,92.95938151231967,120.83268996607288,6.303063246169854
2023-04-14,500,90.32757822969405,121.72608603252262,6.779102040758692
2023-04-15,500,93.34049873849331,123.118702928573,7.210960199192919
2023-04-16,500,92.62698617334824,123.69584164879937,8.044237318509069
2023-04-17,500,90.41494821570757,124.94039101960122,7.784008469202947
2023-04-18,500,93.55475405686667,126.33565529297655,7.837061394048314
2023-04-19,500,93.71645663509429,127.337021129202,7.224613042522525
2023-04-20,500,90.24980634491396,128.99338943482073,7.087474380698322
2023-04-21,500,91.0855325706108,129.65328681452138,7.159659943551623
2023-04-22,500,93.17535456972169,130.2659934871251,8.414859567032556
2023-04-23,500,92.91611568461155,131.8582766214305,6.541756844363427
2023-04-24,500,90.6336884730299,133.1015135957398,8.217579475761381
2023-04-25,500,90.70552916147871,134.6341171903814,7.662845322639292
2023-04-26,500,91.32254775182487,135.78635819828702,7.4047033658517085
2023-04-27,500,91.7512787539509,136.65596124814567,7.999965870280822
2023-04-28,500,92.25873337183548,138.38461472465698,7.544766454277977
2023-04-29,500,91.23389631652084,140.08373854311046,8.340253069569915
2023-04-30,500,91.58090809530182,141.6257832493921,8.416788343407132
2023-05-01,500,92.69318045583172,142.53400095523705,7.480804491109549
2023-05-02,500,89.82255698738656,143.91934695554068,7.212996253810763
